,,DELAY_YES,DELAY_NO,TOTAL,DELAY_TO_NO_DELAY_RATIO,DELAY_PROB,DelayScore
ATL,11,2257.0,7939.0,10196.0,0.2842927320821262,0.22136131816398588,5
ATW,11,47.0,243.0,290.0,0.1934156378600823,0.16206896551724137,3
AUS,11,755.0,2969.0,3724.0,0.25429437521050857,0.2027389903329753,4
AVL,11,96.0,440.0,536.0,0.21818181818181817,0.1791044776119403,3
AVP,11,37.0,199.0,236.0,0.18592964824120603,0.15677966101694915,2
AZA,11,5.0,8.0,13.0,0.625,0.38461538461538464,5
AZO,11,31.0,201.0,232.0,0.15422885572139303,0.1336206896551724,2
BDL,11,282.0,1406.0,1688.0,0.20056899004267426,0.1670616113744076,3
BFF,11,8.0,44.0,52.0,0.18181818181818182,0.15384615384615385,2
BFL,11,36.0,154.0,190.0,0.23376623376623376,0.18947368421052632,4
BGM,11,15.0,65.0,80.0,0.23076923076923078,0.1875,4
BGR,11,52.0,191.0,243.0,0.27225130890052357,0.2139917695473251,4
BHM,11,275.0,1088.0,1363.0,0.25275735294117646,0.20176082171680118,4
BIL,11,30.0,162.0,192.0,0.18518518518518517,0.15625,2
BIS,11,34.0,212.0,246.0,0.16037735849056603,0.13821138211382114,2
BJI,11,9.0,51.0,60.0,0.17647058823529413,0.15,2
BKG,11,1.0,5.0,6.0,0.2,0.16666666666666666,3
BLI,11,19.0,91.0,110.0,0.2087912087912088,0.17272727272727273,3
BLV,11,3.0,16.0,19.0,0.1875,0.15789473684210525,2
BMI,11,56.0,184.0,240.0,0.30434782608695654,0.23333333333333334,5
BNA,11,874.0,3669.0,4543.0,0.23821204687925865,0.19238388729914155,4
BOI,11,162.0,888.0,1050.0,0.18243243243243243,0.15428571428571428,2
BOS,11,1863.0,5723.0,7586.0,0.32552856893237814,0.24558397047192196,5
BPT,11,16.0,62.0,78.0,0.25806451612903225,0.20512820512820512,4
BQK,11,13.0,70.0,83.0,0.18571428571428572,0.1566265060240964,2
BQN,11,33.0,81.0,114.0,0.4074074074074074,0.2894736842105263,5
BRD,11,10.0,41.0,51.0,0.24390243902439024,0.19607843137254902,4
BRO,11,40.0,175.0,215.0,0.22857142857142856,0.18604651162790697,3
BTR,11,123.0,493.0,616.0,0.24949290060851928,0.19967532467532467,4
BTV,11,182.0,625.0,807.0,0.2912,0.2255266418835192,5
BUF,11,324.0,1495.0,1819.0,0.21672240802675585,0.17811984606926884,3
BUR,11,225.0,890.0,1115.0,0.25280898876404495,0.20179372197309417,4
BWI,11,675.0,3296.0,3971.0,0.20479368932038836,0.16998237219843867,3
BZN,11,44.0,192.0,236.0,0.22916666666666666,0.1864406779661017,3
CAE,11,101.0,507.0,608.0,0.1992110453648915,0.16611842105263158,3
CAK,11,166.0,429.0,595.0,0.38694638694638694,0.27899159663865547,5
CGI,11,4.0,22.0,26.0,0.18181818181818182,0.15384615384615385,2
CHA,11,157.0,493.0,650.0,0.3184584178498986,0.24153846153846154,5
CHO,11,96.0,339.0,435.0,0.2831858407079646,0.2206896551724138,5
CHS,11,300.0,1349.0,1649.0,0.2223869532987398,0.18192844147968465,3
CID,11,140.0,566.0,706.0,0.24734982332155478,0.19830028328611898,4
CIU,11,9.0,44.0,53.0,0.20454545454545456,0.16981132075471697,3
CKB,11,18.0,37.0,55.0,0.4864864864864865,0.32727272727272727,5
CLE,11,658.0,2562.0,3220.0,0.2568306010928962,0.20434782608695654,4
CLL,11,32.0,165.0,197.0,0.19393939393939394,0.16243654822335024,3
CLT,11,948.0,4826.0,5774.0,0.19643597181931205,0.16418427433321786,3
CMH,11,606.0,2548.0,3154.0,0.23783359497645212,0.19213696892834495,4
CMI,11,28.0,156.0,184.0,0.1794871794871795,0.15217391304347827,2
CMX,11,21.0,34.0,55.0,0.6176470588235294,0.38181818181818183,5
CNY,11,5.0,48.0,53.0,0.10416666666666667,0.09433962264150944,2
COD,11,9.0,44.0,53.0,0.20454545454545456,0.16981132075471697,3
COS,11,167.0,539.0,706.0,0.3098330241187384,0.23654390934844194,5
COU,11,32.0,134.0,166.0,0.23880597014925373,0.1927710843373494,4
CPR,11,10.0,38.0,48.0,0.2631578947368421,0.20833333333333334,4
CRP,11,110.0,349.0,459.0,0.3151862464183381,0.23965141612200436,5
CRW,11,76.0,283.0,359.0,0.26855123674911663,0.2116991643454039,4
CSG,11,20.0,82.0,102.0,0.24390243902439024,0.19607843137254902,4
CVG,11,625.0,2526.0,3151.0,0.24742676167854316,0.19834973024436686,4
CWA,11,26.0,181.0,207.0,0.143646408839779,0.12560386473429952,2
CYS,11,6.0,20.0,26.0,0.3,0.23076923076923078,5
DAB,11,51.0,224.0,275.0,0.22767857142857142,0.18545454545454546,3
DAL,11,505.0,2089.0,2594.0,0.24174246050741982,0.19468003084040092,4
DAY,11,213.0,882.0,1095.0,0.24149659863945577,0.19452054794520549,4
DBQ,11,10.0,70.0,80.0,0.14285714285714285,0.125,2
DCA,11,970.0,4248.0,5218.0,0.2283427495291902,0.1858949789191261,3
DEN,11,1379.0,6562.0,7941.0,0.21014934471197805,0.17365571086764892,3
DFW,11,1646.0,5961.0,7607.0,0.276128166415031,0.21637965032207176,5
DHN,11,33.0,77.0,110.0,0.42857142857142855,0.3,5
DLH,11,41.0,175.0,216.0,0.2342857142857143,0.18981481481481483,4
DRO,11,38.0,205.0,243.0,0.18536585365853658,0.15637860082304528,2
DRT,11,3.0,49.0,52.0,0.061224489795918366,0.057692307692307696,2
DSM,11,211.0,1009.0,1220.0,0.2091179385530228,0.17295081967213113,3
DTW,11,830.0,4789.0,5619.0,0.17331384422635207,0.14771311621284927,2
