,,DELAY_YES,DELAY_NO,TOTAL,DELAY_TO_NO_DELAY_RATIO,DELAY_PROB,DelayScore
DAL,1,349.0,2402.0,2751.0,0.14529558701082432,0.12686295892402763,2
DAY,1,271.0,742.0,1013.0,0.36522911051212936,0.2675222112537019,5
DBQ,1,21.0,60.0,81.0,0.35,0.25925925925925924,5
DCA,1,979.0,4083.0,5062.0,0.23977467548371295,0.19340181746345317,4
DEN,1,1054.0,6708.0,7762.0,0.15712581991651758,0.13578974491110538,2
DFW,1,901.0,6530.0,7431.0,0.13797856049004595,0.12124882250033643,2
DHN,1,28.0,85.0,113.0,0.32941176470588235,0.24778761061946902,5
DLH,1,40.0,155.0,195.0,0.25806451612903225,0.20512820512820512,4
DRO,1,37.0,233.0,270.0,0.15879828326180256,0.13703703703703704,2
DSM,1,219.0,861.0,1080.0,0.25435540069686413,0.20277777777777778,4
DTW,1,915.0,4424.0,5339.0,0.20682640144665462,0.17138040831616408,3
EAU,1,16.0,36.0,52.0,0.4444444444444444,0.3076923076923077,5
ECP,1,39.0,181.0,220.0,0.2154696132596685,0.17727272727272728,3
EGE,1,51.0,322.0,373.0,0.15838509316770186,0.13672922252010725,2
ELM,1,1.0,4.0,5.0,0.25,0.2,4
ELP,1,185.0,849.0,1034.0,0.21790341578327443,0.17891682785299806,3
ERI,1,25.0,62.0,87.0,0.4032258064516129,0.28735632183908044,5
ESC,1,11.0,37.0,48.0,0.2972972972972973,0.22916666666666666,4
EUG,1,49.0,270.0,319.0,0.1814814814814815,0.1536050156739812,3
EVV,1,61.0,287.0,348.0,0.21254355400696864,0.1752873563218391,3
EWN,1,43.0,98.0,141.0,0.4387755102040816,0.3049645390070922,5
EWR,1,1278.0,3893.0,5171.0,0.32828153095299256,0.24714755366466834,5
EYW,1,76.0,269.0,345.0,0.2825278810408922,0.22028985507246376,4
FAI,1,11.0,142.0,153.0,0.07746478873239436,0.0718954248366013,2
FAR,1,86.0,360.0,446.0,0.2388888888888889,0.19282511210762332,4
FAT,1,144.0,545.0,689.0,0.26422018348623855,0.20899854862119013,4
FAY,1,61.0,221.0,282.0,0.27601809954751133,0.21631205673758866,4
FCA,1,15.0,48.0,63.0,0.3125,0.23809523809523808,5
FLG,1,13.0,80.0,93.0,0.1625,0.13978494623655913,2
FLL,1,1047.0,3975.0,5022.0,0.26339622641509436,0.2084826762246117,4
FNT,1,70.0,225.0,295.0,0.3111111111111111,0.23728813559322035,5
FSD,1,86.0,400.0,486.0,0.215,0.17695473251028807,3
FSM,1,21.0,143.0,164.0,0.14685314685314685,0.12804878048780488,2
FWA,1,190.0,346.0,536.0,0.5491329479768786,0.35447761194029853,5
GCC,1,14.0,65.0,79.0,0.2153846153846154,0.17721518987341772,3
GCK,1,8.0,52.0,60.0,0.15384615384615385,0.13333333333333333,2
GEG,1,87.0,589.0,676.0,0.14770797962648557,0.128698224852071,2
GFK,1,11.0,137.0,148.0,0.08029197080291971,0.07432432432432433,2
GGG,1,9.0,47.0,56.0,0.19148936170212766,0.16071428571428573,3
GJT,1,21.0,173.0,194.0,0.12138728323699421,0.10824742268041238,2
GNV,1,84.0,221.0,305.0,0.38009049773755654,0.2754098360655738,5
GPT,1,40.0,257.0,297.0,0.1556420233463035,0.13468013468013468,2
GRB,1,91.0,235.0,326.0,0.3872340425531915,0.2791411042944785,5
GRI,1,11.0,59.0,70.0,0.1864406779661017,0.15714285714285714,3
GRK,1,31.0,198.0,229.0,0.15656565656565657,0.13537117903930132,2
GRR,1,273.0,875.0,1148.0,0.312,0.23780487804878048,5
GSO,1,212.0,658.0,870.0,0.3221884498480243,0.24367816091954023,5
GSP,1,193.0,691.0,884.0,0.2793053545586107,0.21832579185520362,4
GTF,1,14.0,34.0,48.0,0.4117647058823529,0.2916666666666667,5
GTR,1,20.0,57.0,77.0,0.3508771929824561,0.2597402597402597,5
GUC,1,8.0,38.0,46.0,0.21052631578947367,0.17391304347826086,3
HDN,1,39.0,183.0,222.0,0.21311475409836064,0.17567567567567569,3
HIB,1,10.0,40.0,50.0,0.25,0.2,4
HLN,1,10.0,47.0,57.0,0.2127659574468085,0.17543859649122806,3
HNL,1,139.0,1163.0,1302.0,0.11951848667239896,0.10675883256528418,2
HOB,1,3.0,53.0,56.0,0.05660377358490566,0.05357142857142857,2
HOU,1,284.0,1440.0,1724.0,0.19722222222222222,0.16473317865429235,3
HPN,1,144.0,326.0,470.0,0.44171779141104295,0.30638297872340425,5
HRL,1,34.0,208.0,242.0,0.16346153846153846,0.14049586776859505,2
HSV,1,110.0,501.0,611.0,0.21956087824351297,0.18003273322422259,3
HVN,1,18.0,58.0,76.0,0.3103448275862069,0.23684210526315788,5
HYS,1,6.0,47.0,53.0,0.1276595744680851,0.11320754716981132,2
IAD,1,431.0,2706.0,3137.0,0.15927568366592756,0.1373924131335671,2
IAH,1,732.0,4612.0,5344.0,0.15871639202081528,0.13697604790419163,2
ICT,1,136.0,620.0,756.0,0.21935483870967742,0.17989417989417988,3
IDA,1,13.0,73.0,86.0,0.1780821917808219,0.1511627906976744,3
IFP,1,5.0,26.0,31.0,0.19230769230769232,0.16129032258064516,3
ILM,1,112.0,309.0,421.0,0.36245954692556637,0.2660332541567696,5
IMT,1,7.0,47.0,54.0,0.14893617021276595,0.12962962962962962,2
IND,1,573.0,2510.0,3083.0,0.22828685258964143,0.1858579305870905,4
INL,1,8.0,41.0,49.0,0.1951219512195122,0.16326530612244897,3
ISN,1,17.0,87.0,104.0,0.19540229885057472,0.16346153846153846,3
ISP,1,23.0,122.0,145.0,0.1885245901639344,0.15862068965517243,3
ITH,1,21.0,61.0,82.0,0.3442622950819672,0.25609756097560976,5
ITO,1,5.0,26.0,31.0,0.19230769230769232,0.16129032258064516,3
JAC,1,58.0,240.0,298.0,0.24166666666666667,0.19463087248322147,4
JAN,1,96.0,475.0,571.0,0.20210526315789473,0.1681260945709282,3
JAX,1,319.0,1386.0,1705.0,0.23015873015873015,0.1870967741935484,4
JFK,1,965.0,3816.0,4781.0,0.2528825995807128,0.20184061911733947,4
JLN,1,6.0,50.0,56.0,0.12,0.10714285714285714,2
JMS,1,9.0,42.0,51.0,0.21428571428571427,0.17647058823529413,3
JNU,1,3.0,60.0,63.0,0.05,0.047619047619047616,1
KOA,1,48.0,374.0,422.0,0.12834224598930483,0.11374407582938388,2
KTN,1,15.0,78.0,93.0,0.19230769230769232,0.16129032258064516,3
LAN,1,64.0,177.0,241.0,0.3615819209039548,0.26556016597510373,5
LAR,1,7.0,47.0,54.0,0.14893617021276595,0.12962962962962962,2
LAS,1,947.0,5999.0,6946.0,0.15785964327387897,0.1363374604088684,2
LAW,1,9.0,82.0,91.0,0.10975609756097561,0.0989010989010989,2
LAX,1,1373.0,8863.0,10236.0,0.1549136861107977,0.1341344275107464,2
LBB,1,53.0,294.0,347.0,0.18027210884353742,0.15273775216138327,3
LBE,1,2.0,28.0,30.0,0.07142857142857142,0.06666666666666667,2
LCH,1,20.0,120.0,140.0,0.16666666666666666,0.14285714285714285,2
LEX,1,111.0,518.0,629.0,0.21428571428571427,0.17647058823529413,3
LFT,1,52.0,293.0,345.0,0.17747440273037543,0.15072463768115943,3
LGA,1,1555.0,4572.0,6127.0,0.3401137357830271,0.2537946792883956,5
LGB,1,135.0,500.0,635.0,0.27,0.2125984251968504,4
LIH,1,41.0,337.0,378.0,0.12166172106824925,0.10846560846560846,2
LIT,1,133.0,666.0,799.0,0.1996996996996997,0.16645807259073842,3
LNK,1,34.0,128.0,162.0,0.265625,0.20987654320987653,4
LRD,1,28.0,165.0,193.0,0.1696969696969697,0.14507772020725387,2
LSE,1,44.0,108.0,152.0,0.4074074074074074,0.2894736842105263,5
LYH,1,12.0,29.0,41.0,0.41379310344827586,0.2926829268292683,5
MAF,1,86.0,501.0,587.0,0.17165668662674652,0.1465076660988075,3
MBS,1,49.0,138.0,187.0,0.35507246376811596,0.2620320855614973,5
MCI,1,469.0,2753.0,3222.0,0.17035960770069017,0.14556176288019865,2
MCO,1,1316.0,5212.0,6528.0,0.25249424405218723,0.20159313725490197,4
MDT,1,76.0,381.0,457.0,0.1994750656167979,0.16630196936542668,3
MDW,1,536.0,2299.0,2835.0,0.23314484558503698,0.1890652557319224,4
MEI,1,16.0,14.0,30.0,1.1428571428571428,0.5333333333333333,5
MEM,1,288.0,1270.0,1558.0,0.22677165354330708,0.18485237483953787,4
MFE,1,48.0,271.0,319.0,0.17712177121771217,0.15047021943573669,3
MFR,1,60.0,224.0,284.0,0.26785714285714285,0.2112676056338028,4
MGM,1,85.0,205.0,290.0,0.4146341463414634,0.29310344827586204,5
MHK,1,31.0,109.0,140.0,0.28440366972477066,0.22142857142857142,4
MHT,1,112.0,428.0,540.0,0.2616822429906542,0.2074074074074074,4
MIA,1,797.0,4207.0,5004.0,0.18944616115997148,0.15927258193445243,3
MKE,1,418.0,1638.0,2056.0,0.25518925518925517,0.20330739299610895,4
MKG,1,11.0,40.0,51.0,0.275,0.21568627450980393,4
MLB,1,36.0,159.0,195.0,0.22641509433962265,0.18461538461538463,4
MLI,1,71.0,265.0,336.0,0.2679245283018868,0.2113095238095238,4
MLU,1,47.0,180.0,227.0,0.2611111111111111,0.20704845814977973,4
MMH,1,7.0,20.0,27.0,0.35,0.25925925925925924,5
MOB,1,95.0,432.0,527.0,0.2199074074074074,0.18026565464895636,3
MOT,1,17.0,165.0,182.0,0.10303030303030303,0.09340659340659341,2
MQT,1,22.0,52.0,74.0,0.4230769230769231,0.2972972972972973,5
MRY,1,50.0,220.0,270.0,0.22727272727272727,0.18518518518518517,4
MSN,1,154.0,639.0,793.0,0.24100156494522693,0.19419924337957126,4
MSO,1,7.0,48.0,55.0,0.14583333333333334,0.12727272727272726,2
MSP,1,779.0,4550.0,5329.0,0.1712087912087912,0.14618127228373054,2
MSY,1,512.0,2718.0,3230.0,0.188373804267844,0.1585139318885449,3
MTJ,1,44.0,179.0,223.0,0.24581005586592178,0.19730941704035873,4
MYR,1,96.0,338.0,434.0,0.28402366863905326,0.22119815668202766,4
OAJ,1,59.0,146.0,205.0,0.4041095890410959,0.28780487804878047,5
OAK,1,255.0,1795.0,2050.0,0.14206128133704735,0.12439024390243902,2
OGD,1,,18.0,,,,5
OGG,1,91.0,620.0,711.0,0.14677419354838708,0.1279887482419128,2
OKC,1,244.0,1228.0,1472.0,0.1986970684039088,0.16576086956521738,3
OMA,1,281.0,1333.0,1614.0,0.2108027006751688,0.17410161090458487,3
ONT,1,172.0,849.0,1021.0,0.20259128386336867,0.168462291870715,3
ORD,1,1557.0,8376.0,9933.0,0.18588825214899712,0.15675022651766837,3
ORF,1,282.0,866.0,1148.0,0.325635103926097,0.2456445993031359,5
ORH,1,5.0,22.0,27.0,0.22727272727272727,0.18518518518518517,4
OTH,1,9.0,8.0,17.0,1.125,0.5294117647058824,5
PAH,1,13.0,38.0,51.0,0.34210526315789475,0.2549019607843137,5
PBI,1,489.0,1499.0,1988.0,0.32621747831887926,0.2459758551307847,5
PDX,1,375.0,2737.0,3112.0,0.1370113262696383,0.1205012853470437,2
PHF,1,51.0,161.0,212.0,0.3167701863354037,0.24056603773584906,5
PHL,1,761.0,3487.0,4248.0,0.2182391740751362,0.1791431261770245,3
PHX,1,1535.0,4783.0,6318.0,0.320928287685553,0.24295663184552074,5
PIA,1,92.0,281.0,373.0,0.3274021352313167,0.24664879356568364,5
PIB,1,9.0,21.0,30.0,0.42857142857142855,0.3,5
PIE,1,,9.0,,,,5
PIT,1,560.0,2492.0,3052.0,0.2247191011235955,0.1834862385321101,4
PLN,1,10.0,32.0,42.0,0.3125,0.23809523809523808,5
PNS,1,82.0,507.0,589.0,0.16173570019723865,0.13921901528013583,2
PSC,1,58.0,223.0,281.0,0.2600896860986547,0.20640569395017794,4
PSE,1,17.0,48.0,65.0,0.3541666666666667,0.26153846153846155,5
PSP,1,147.0,737.0,884.0,0.1994572591587517,0.166289592760181,3
PUB,1,4.0,49.0,53.0,0.08163265306122448,0.07547169811320754,2
PVD,1,208.0,750.0,958.0,0.2773333333333333,0.21711899791231734,4
PVU,1,4.0,30.0,34.0,0.13333333333333333,0.11764705882352941,2
PWM,1,159.0,472.0,631.0,0.336864406779661,0.2519809825673534,5
RAP,1,35.0,165.0,200.0,0.21212121212121213,0.175,3
RDD,1,18.0,69.0,87.0,0.2608695652173913,0.20689655172413793,4
RDM,1,43.0,163.0,206.0,0.26380368098159507,0.2087378640776699,4
RDU,1,617.0,2649.0,3266.0,0.23291808229520575,0.18891610532761788,4
RFD,1,1.0,18.0,19.0,0.05555555555555555,0.05263157894736842,2
RHI,1,7.0,51.0,58.0,0.13725490196078433,0.1206896551724138,2
RIC,1,364.0,1236.0,1600.0,0.29449838187702265,0.2275,4
RKS,1,8.0,48.0,56.0,0.16666666666666666,0.14285714285714285,2
RNO,1,174.0,899.0,1073.0,0.1935483870967742,0.16216216216216217,3
ROA,1,40.0,105.0,145.0,0.38095238095238093,0.27586206896551724,5
ROC,1,210.0,676.0,886.0,0.3106508875739645,0.23702031602708803,5
ROW,1,7.0,95.0,102.0,0.07368421052631578,0.06862745098039216,2
RST,1,71.0,160.0,231.0,0.44375,0.30735930735930733,5
RSW,1,433.0,2009.0,2442.0,0.21553011448481832,0.1773136773136773,3
SAF,1,7.0,117.0,124.0,0.05982905982905983,0.056451612903225805,2
SAN,1,578.0,3623.0,4201.0,0.15953629588738613,0.13758628897881456,2
SAT,1,351.0,1925.0,2276.0,0.18233766233766233,0.15421792618629174,3
SAV,1,143.0,662.0,805.0,0.21601208459214502,0.17763975155279504,3
SBA,1,89.0,427.0,516.0,0.20843091334894615,0.17248062015503876,3
SBN,1,121.0,274.0,395.0,0.4416058394160584,0.30632911392405066,5
SBP,1,86.0,287.0,373.0,0.29965156794425085,0.23056300268096513,5
SCE,1,18.0,67.0,85.0,0.26865671641791045,0.21176470588235294,4
SCK,1,11.0,30.0,41.0,0.36666666666666664,0.2682926829268293,5
SDF,1,259.0,1064.0,1323.0,0.24342105263157895,0.19576719576719576,4
SEA,1,701.0,4572.0,5273.0,0.15332458442694663,0.1329413995827802,2
SFO,1,1662.0,6387.0,8049.0,0.26021606387975577,0.20648527767424524,4
SGF,1,101.0,534.0,635.0,0.1891385767790262,0.15905511811023623,3
SGU,1,9.0,143.0,152.0,0.06293706293706294,0.05921052631578947,2
SHV,1,82.0,452.0,534.0,0.18141592920353983,0.15355805243445692,3
SJC,1,342.0,2166.0,2508.0,0.15789473684210525,0.13636363636363635,2
SJT,1,21.0,103.0,124.0,0.20388349514563106,0.1693548387096774,3
SJU,1,356.0,833.0,1189.0,0.42737094837935174,0.2994112699747687,5
SLC,1,601.0,4076.0,4677.0,0.14744847890088322,0.12850117596750055,2
SMF,1,336.0,2062.0,2398.0,0.1629485935984481,0.14011676396997497,2
SMX,1,,14.0,,,,5
SNA,1,289.0,1971.0,2260.0,0.14662607813292744,0.12787610619469025,2
SPI,1,41.0,90.0,131.0,0.45555555555555555,0.31297709923664124,5
SPS,1,10.0,78.0,88.0,0.1282051282051282,0.11363636363636363,2
SRQ,1,83.0,369.0,452.0,0.22493224932249323,0.1836283185840708,4
STC,1,1.0,8.0,9.0,0.125,0.1111111111111111,2
STL,1,565.0,2812.0,3377.0,0.20092460881934565,0.1673082617708025,3
STS,1,26.0,96.0,122.0,0.2708333333333333,0.21311475409836064,4
STT,1,4.0,27.0,31.0,0.14814814814814814,0.12903225806451613,2
STX,1,4.0,20.0,24.0,0.2,0.16666666666666666,3
SUN,1,9.0,40.0,49.0,0.225,0.1836734693877551,4
SUX,1,17.0,70.0,87.0,0.24285714285714285,0.19540229885057472,4
SWF,1,19.0,63.0,82.0,0.30158730158730157,0.23170731707317074,5
SWO,1,11.0,47.0,58.0,0.23404255319148937,0.1896551724137931,4
SYR,1,232.0,743.0,975.0,0.3122476446837147,0.23794871794871794,5
TLH,1,63.0,269.0,332.0,0.2342007434944238,0.1897590361445783,4
TOL,1,44.0,99.0,143.0,0.4444444444444444,0.3076923076923077,5
TPA,1,725.0,3216.0,3941.0,0.22543532338308458,0.1839634610504948,4
TRI,1,39.0,130.0,169.0,0.3,0.23076923076923078,5
TTN,1,17.0,62.0,79.0,0.27419354838709675,0.21518987341772153,4
TUL,1,195.0,916.0,1111.0,0.212882096069869,0.17551755175517553,3
TUS,1,248.0,1171.0,1419.0,0.21178479931682323,0.17477096546863988,3
TVC,1,66.0,192.0,258.0,0.34375,0.2558139534883721,5
TXK,1,6.0,66.0,72.0,0.09090909090909091,0.08333333333333333,2
TYR,1,12.0,90.0,102.0,0.13333333333333333,0.11764705882352941,2
TYS,1,250.0,823.0,1073.0,0.3037667071688943,0.23299161230195714,5
UIN,1,10.0,39.0,49.0,0.2564102564102564,0.20408163265306123,4
VLD,1,6.0,70.0,76.0,0.08571428571428572,0.07894736842105263,2
VPS,1,69.0,339.0,408.0,0.20353982300884957,0.16911764705882354,3
XNA,1,170.0,809.0,979.0,0.21013597033374537,0.17364657814096016,3
YUM,1,24.0,97.0,121.0,0.24742268041237114,0.19834710743801653,4
ABE,2,47.0,163.0,210.0,0.2883435582822086,0.22380952380952382,4
ABI,2,35.0,96.0,131.0,0.3645833333333333,0.26717557251908397,5
ABQ,2,351.0,939.0,1290.0,0.3738019169329074,0.27209302325581397,5
ABR,2,8.0,46.0,54.0,0.17391304347826086,0.14814814814814814,2
ABY,2,16.0,54.0,70.0,0.2962962962962963,0.22857142857142856,4
ACT,2,18.0,83.0,101.0,0.21686746987951808,0.1782178217821782,3
ACV,2,12.0,69.0,81.0,0.17391304347826086,0.14814814814814814,2
ACY,2,7.0,49.0,56.0,0.14285714285714285,0.125,2
AEX,2,47.0,193.0,240.0,0.24352331606217617,0.19583333333333333,3
AGS,2,65.0,230.0,295.0,0.2826086956521739,0.22033898305084745,4
ALB,2,127.0,598.0,725.0,0.21237458193979933,0.17517241379310344,3
ALO,2,9.0,37.0,46.0,0.24324324324324326,0.1956521739130435,3
AMA,2,43.0,214.0,257.0,0.20093457943925233,0.16731517509727625,2
ANC,2,166.0,330.0,496.0,0.503030303030303,0.3346774193548387,5
APN,2,4.0,23.0,27.0,0.17391304347826086,0.14814814814814814,2
ASE,2,225.0,502.0,727.0,0.448207171314741,0.30949105914718017,5
ATL,2,1275.0,7877.0,9152.0,0.16186365367525707,0.1393138111888112,2
ATW,2,47.0,217.0,264.0,0.21658986175115208,0.17803030303030304,3
AUS,2,547.0,2546.0,3093.0,0.21484681853888452,0.17685095376656967,3
AVL,2,85.0,270.0,355.0,0.3148148148148148,0.23943661971830985,5
AVP,2,43.0,174.0,217.0,0.2471264367816092,0.19815668202764977,3
AZA,2,5.0,7.0,12.0,0.7142857142857143,0.4166666666666667,5
AZO,2,27.0,148.0,175.0,0.18243243243243243,0.15428571428571428,2
BDL,2,206.0,1209.0,1415.0,0.17038875103391232,0.14558303886925794,2
BFF,2,9.0,36.0,45.0,0.25,0.2,4
BFL,2,38.0,118.0,156.0,0.3220338983050847,0.24358974358974358,5
BGM,2,10.0,39.0,49.0,0.2564102564102564,0.20408163265306123,4
BGR,2,39.0,173.0,212.0,0.2254335260115607,0.18396226415094338,3
BHM,2,214.0,810.0,1024.0,0.2641975308641975,0.208984375,4
BIL,2,40.0,169.0,209.0,0.23668639053254437,0.19138755980861244,3
BIS,2,51.0,178.0,229.0,0.28651685393258425,0.22270742358078602,4
BJI,2,9.0,46.0,55.0,0.1956521739130435,0.16363636363636364,2
BLI,2,23.0,112.0,135.0,0.20535714285714285,0.17037037037037037,3
BLV,2,3.0,13.0,16.0,0.23076923076923078,0.1875,3
BMI,2,54.0,134.0,188.0,0.40298507462686567,0.2872340425531915,5
BNA,2,623.0,2885.0,3508.0,0.21594454072790295,0.17759407069555302,3
BOI,2,193.0,863.0,1056.0,0.22363847045191193,0.18276515151515152,3
BOS,2,874.0,5530.0,6404.0,0.15804701627486437,0.13647720174890693,2
BPT,2,12.0,36.0,48.0,0.3333333333333333,0.25,5
BQK,2,9.0,66.0,75.0,0.13636363636363635,0.12,2
BQN,2,21.0,38.0,59.0,0.5526315789473685,0.3559322033898305,5
BRD,2,4.0,40.0,44.0,0.1,0.09090909090909091,2
BRO,2,31.0,149.0,180.0,0.2080536912751678,0.17222222222222222,3
BTR,2,103.0,453.0,556.0,0.22737306843267108,0.18525179856115107,3
BTV,2,123.0,485.0,608.0,0.2536082474226804,0.20230263157894737,4
BUF,2,259.0,1147.0,1406.0,0.22580645161290322,0.18421052631578946,3
BUR,2,222.0,733.0,955.0,0.30286493860845837,0.2324607329842932,4
BWI,2,435.0,3016.0,3451.0,0.14423076923076922,0.12605042016806722,2
BZN,2,68.0,297.0,365.0,0.22895622895622897,0.1863013698630137,3
CAE,2,57.0,324.0,381.0,0.17592592592592593,0.14960629921259844,2
CAK,2,132.0,377.0,509.0,0.35013262599469497,0.2593320235756385,5
CGI,2,6.0,15.0,21.0,0.4,0.2857142857142857,5
CHA,2,137.0,420.0,557.0,0.3261904761904762,0.2459605026929982,5
CHO,2,103.0,299.0,402.0,0.34448160535117056,0.2562189054726368,5
CHS,2,207.0,1090.0,1297.0,0.18990825688073396,0.15959907478797225,2
CID,2,120.0,486.0,606.0,0.24691358024691357,0.19801980198019803,3
CIU,2,11.0,39.0,50.0,0.28205128205128205,0.22,4
CKB,2,10.0,38.0,48.0,0.2631578947368421,0.20833333333333334,4
CLE,2,478.0,2320.0,2798.0,0.20603448275862069,0.1708363116511794,3
CLL,2,34.0,125.0,159.0,0.272,0.2138364779874214,4
CLT,2,784.0,4584.0,5368.0,0.17102966841186737,0.14605067064083457,2
CMH,2,444.0,2168.0,2612.0,0.2047970479704797,0.16998468606431852,3
CMI,2,38.0,114.0,152.0,0.3333333333333333,0.25,5
CMX,2,17.0,31.0,48.0,0.5483870967741935,0.3541666666666667,5
COS,2,155.0,510.0,665.0,0.30392156862745096,0.23308270676691728,4
COU,2,42.0,113.0,155.0,0.37168141592920356,0.2709677419354839,5
CPR,2,2.0,10.0,12.0,0.2,0.16666666666666666,2
CRP,2,93.0,282.0,375.0,0.32978723404255317,0.248,5
CRW,2,54.0,275.0,329.0,0.19636363636363635,0.1641337386018237,2
CSG,2,13.0,67.0,80.0,0.19402985074626866,0.1625,2
CVG,2,525.0,2115.0,2640.0,0.24822695035460993,0.19886363636363635,3
CWA,2,42.0,143.0,185.0,0.2937062937062937,0.22702702702702704,4
DAB,2,46.0,223.0,269.0,0.2062780269058296,0.17100371747211895,3
DAL,2,573.0,1890.0,2463.0,0.30317460317460315,0.23264311814859928,4
DAY,2,255.0,699.0,954.0,0.3648068669527897,0.2672955974842767,5
DBQ,2,21.0,45.0,66.0,0.4666666666666667,0.3181818181818182,5
DCA,2,793.0,4061.0,4854.0,0.19527210046786506,0.16337041615162753,2
DEN,2,1352.0,5637.0,6989.0,0.23984388859322334,0.1934468450422092,3
DFW,2,1441.0,5335.0,6776.0,0.27010309278350514,0.21266233766233766,4
DHN,2,19.0,85.0,104.0,0.2235294117647059,0.18269230769230768,3
DLH,2,43.0,130.0,173.0,0.33076923076923076,0.24855491329479767,5
DRO,2,65.0,151.0,216.0,0.4304635761589404,0.30092592592592593,5
DSM,2,214.0,769.0,983.0,0.27828348504551365,0.21770091556459817,4
DTW,2,785.0,4065.0,4850.0,0.1931119311193112,0.1618556701030928,2
EAU,2,15.0,33.0,48.0,0.45454545454545453,0.3125,5
ECP,2,38.0,175.0,213.0,0.21714285714285714,0.1784037558685446,3
EGE,2,100.0,230.0,330.0,0.43478260869565216,0.30303030303030304,5
ELP,2,228.0,705.0,933.0,0.32340425531914896,0.24437299035369775,5
ERI,2,15.0,59.0,74.0,0.2542372881355932,0.20270270270270271,4
ESC,2,10.0,36.0,46.0,0.2777777777777778,0.21739130434782608,4
EUG,2,54.0,229.0,283.0,0.23580786026200873,0.19081272084805653,3
EVV,2,60.0,238.0,298.0,0.25210084033613445,0.20134228187919462,4
EWN,2,37.0,92.0,129.0,0.40217391304347827,0.2868217054263566,5
EWR,2,1099.0,3823.0,4922.0,0.28747057284854827,0.22328321820398211,4
EYW,2,52.0,268.0,320.0,0.19402985074626866,0.1625,2
FAI,2,34.0,105.0,139.0,0.3238095238095238,0.2446043165467626,5
FAR,2,86.0,317.0,403.0,0.27129337539432175,0.21339950372208435,4
FAT,2,102.0,483.0,585.0,0.2111801242236025,0.17435897435897435,3
FAY,2,54.0,209.0,263.0,0.2583732057416268,0.20532319391634982,4
FCA,2,7.0,29.0,36.0,0.2413793103448276,0.19444444444444445,3
FLG,2,20.0,50.0,70.0,0.4,0.2857142857142857,5
FLL,2,761.0,3966.0,4727.0,0.191880988401412,0.16099005711867992,2
FLO,2,2.0,12.0,14.0,0.16666666666666666,0.14285714285714285,2
FNT,2,43.0,218.0,261.0,0.19724770642201836,0.16475095785440613,2
FSD,2,99.0,333.0,432.0,0.2972972972972973,0.22916666666666666,4
FSM,2,33.0,105.0,138.0,0.3142857142857143,0.2391304347826087,5
FWA,2,132.0,356.0,488.0,0.3707865168539326,0.27049180327868855,5
GCC,2,21.0,50.0,71.0,0.42,0.29577464788732394,5
GCK,2,15.0,40.0,55.0,0.375,0.2727272727272727,5
GEG,2,121.0,507.0,628.0,0.23865877712031558,0.1926751592356688,3
GFK,2,30.0,113.0,143.0,0.26548672566371684,0.2097902097902098,4
GGG,2,10.0,35.0,45.0,0.2857142857142857,0.2222222222222222,4
GJT,2,46.0,141.0,187.0,0.3262411347517731,0.24598930481283424,5
GNV,2,64.0,213.0,277.0,0.3004694835680751,0.23104693140794225,4
GPT,2,57.0,227.0,284.0,0.2511013215859031,0.2007042253521127,4
GRB,2,58.0,252.0,310.0,0.23015873015873015,0.1870967741935484,3
GRI,2,18.0,49.0,67.0,0.3673469387755102,0.26865671641791045,5
GRK,2,43.0,151.0,194.0,0.2847682119205298,0.22164948453608246,4
GRR,2,221.0,844.0,1065.0,0.2618483412322275,0.20751173708920187,4
GSO,2,184.0,637.0,821.0,0.28885400313971743,0.2241169305724726,4
GSP,2,144.0,627.0,771.0,0.22966507177033493,0.1867704280155642,3
GTF,2,14.0,32.0,46.0,0.4375,0.30434782608695654,5
GTR,2,11.0,65.0,76.0,0.16923076923076924,0.14473684210526316,2
GUC,2,6.0,27.0,33.0,0.2222222222222222,0.18181818181818182,3
HDN,2,49.0,150.0,199.0,0.32666666666666666,0.24623115577889448,5
HIB,2,4.0,43.0,47.0,0.09302325581395349,0.0851063829787234,2
HLN,2,14.0,37.0,51.0,0.3783783783783784,0.27450980392156865,5
HNL,2,101.0,1044.0,1145.0,0.09674329501915709,0.08820960698689956,2
HOB,2,9.0,43.0,52.0,0.20930232558139536,0.17307692307692307,3
HOU,2,382.0,1193.0,1575.0,0.3202011735121542,0.24253968253968253,5
HPN,2,113.0,323.0,436.0,0.3498452012383901,0.2591743119266055,5
HRL,2,66.0,155.0,221.0,0.4258064516129032,0.2986425339366516,5
HSV,2,99.0,491.0,590.0,0.20162932790224034,0.16779661016949152,2
HVN,2,16.0,57.0,73.0,0.2807017543859649,0.2191780821917808,4
HYS,2,12.0,36.0,48.0,0.3333333333333333,0.25,5
IAD,2,354.0,2531.0,2885.0,0.13986566574476492,0.12270363951473137,2
IAH,2,1029.0,3992.0,5021.0,0.25776553106212424,0.20493925512846048,4
ICT,2,148.0,530.0,678.0,0.2792452830188679,0.2182890855457227,4
IDA,2,16.0,57.0,73.0,0.2807017543859649,0.2191780821917808,4
IFP,2,2.0,12.0,14.0,0.16666666666666666,0.14285714285714285,2
ILM,2,90.0,339.0,429.0,0.26548672566371684,0.2097902097902098,4
IMT,2,12.0,38.0,50.0,0.3157894736842105,0.24,5
IND,2,479.0,2346.0,2825.0,0.2041773231031543,0.1695575221238938,2
